"","CountryCode","CountryName","AverageGDP","AverageCtrpt","AverageGrowthRate","AverageFertility","latitude","longitude"
"61","MUS","Mauritius",18470.8113625338,63.8,0.683,1.77628571428571,-20.2833,57.55
"62","MWI","Malawi",1106.58817911159,54.6333333333333,3.35857142857143,5.71428571428571,-13.5,34
"63","MYS","Malaysia",24384.6955067229,52.2,1.50685714285714,2.61085714285714,2.5,112.5
"64","NAM","Namibia",9646.16497839346,56.1,1.81014285714286,3.56004285714286,-22,17
"65","NER","Niger",897.594365962938,15.4,3.32371428571429,7.02627142857143,16,8
"66","NGA","Nigeria",5642.49537238849,15.775,2.48057142857143,5.314,10,8
"67","NIC","Nicaragua",4803.68592743834,80.4,1.04471428571429,2.03514285714286,13,-85
"68","NLD","Netherlands",48129.2605577319,73,0.441,1.7803,52.5,5.75
"69","NPL","Nepal",2253.52534127385,49.65,1.41285714285714,2.40228571428571,28,84
"70","PAK","Pakistan",4699.18148786854,35.4,1.51871428571429,2.96771428571429,30,70
"71","PAN","Panama",19621.5660146916,62.8,1.38057142857143,2.40228571428571,9,-80
"72","PER","Peru",11624.3597373031,74.78,1.00171428571429,2.25314285714286,-10,-76
"73","PHL","Philippines",6630.1356363365,52,1.62085714285714,3.16657142857143,13,122
"74","PRT","Portugal",28526.4866401947,73.9,0.152,1.51064285714286,39.5,-8
"75","QAT","Qatar",126868.214041929,37.5,4.72171428571429,1.92905714285714,25.5,51.25
"76","RUS","Russian Federation",23732.6081896437,66.45,-0.0211428571428571,1.6058,60,100
"77","RUS","Russian Federation",23732.6081896437,66.45,-0.0211428571428571,1.6058,60,100
"78","RWA","Rwanda",1630.32238510068,52.4,2.68471428571429,4.71685714285714,-2,30
"79","SDN","Sudan",4160.50204560693,10.6,1.75242857142857,4.04857142857143,15,30
"80","SEN","Senegal",2318.91410863372,19.1,2.50228571428571,4.60857142857143,14,-14
"81","SLE","Sierra Leone",1468.13822966451,13.8,2.297,4.8677,8.5,-11.5
